fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.5620565,0.24874793,0.4597134,1.2344763,0.06116291,22.699535,122.6434,0.993206,3.0267694,0.40216368,9.338563,5
5.850563,0.24741225,0.19742525,10.910701,0.050509717,61.571114,193.92625,0.99676883,3.184335,0.3580688,8.934921,5
7.0826483,0.17946252,0.33475488,7.8971977,0.05597101,43.155186,211.72942,0.99485445,3.3019571,0.543906,11.122097,6
7.0008807,0.1467305,0.36711973,12.170289,0.07801567,47.40695,154.7271,0.9986286,3.4059575,0.41282997,9.205829,6
5.8168454,0.26446158,0.2839738,6.954853,0.044725794,37.46002,137.64067,0.9960022,3.4130912,0.47786555,9.639643,7
6.646196,0.25052443,0.33286154,5.468463,0.047021188,39.82448,125.80329,0.99408793,3.2348537,0.3926271,10.371075,6
6.421136,0.35336372,0.20544952,5.6193852,0.053437468,21.305172,149.61229,0.9943006,3.2120707,0.39048356,9.758578,5
6.6236367,0.22345239,0.40677974,2.2240813,0.044042177,31.622593,118.049515,0.9925018,3.317452,0.7373325,11.474206,7
6.3178353,0.18563204,0.2893051,8.1639,0.04727288,46.546333,146.19469,0.99704367,3.4573603,0.38537398,9.130335,6
7.0287395,0.22531162,0.37486422,3.3390408,0.02937978,15.648698,97.24399,0.9908285,3.2017977,0.39148113,12.686398,6
5.922892,0.34573123,0.2850703,6.158623,0.044541076,52.0683,200.06952,0.99290663,3.1192558,0.6066071,10.340396,5
7.117844,0.37661096,0.41059127,6.7688923,0.050691843,49.48863,183.38445,0.9950311,3.0743263,0.48907495,9.683103,5
7.539133,0.41689602,0.3405897,5.4188266,0.036952056,44.52643,146.50285,0.992122,3.2835104,0.3829209,12.570945,7
6.0061636,0.26511595,0.3883114,1.9541216,0.03968347,39.616997,115.17842,0.98969275,3.2643933,0.38015473,12.500401,7
6.359785,0.2796869,0.30754325,3.7384048,0.05689737,15.424566,153.45148,0.9944672,3.1804733,0.58501095,9.531687,6
6.325638,0.2502397,0.44263014,10.920806,0.049495324,69.82548,213.29831,0.9964889,3.2519643,0.535189,9.788988,6
7.116787,0.21960193,0.34481102,1.7554537,0.043026917,32.41258,135.69794,0.9919577,3.3331618,0.49307865,11.14677,5
6.371233,0.24964856,0.4339678,1.3204062,0.046795785,29.967966,71.12394,0.9903971,3.2329497,0.4619339,11.439981,8
7.210419,0.21624646,0.4556843,2.4399962,0.03868042,27.910177,146.22607,0.99265516,3.4398715,0.3967504,11.675462,7
6.7928233,0.40219456,0.23098327,10.125569,0.039846387,26.449928,168.15129,0.99525565,3.0321944,0.41583723,10.113653,5
6.877518,0.22596635,0.37328267,1.7500736,0.03318807,26.28757,121.67877,0.99157983,3.2582211,0.40658528,11.224718,5
6.131071,0.19634995,0.26267475,8.0457,0.05493218,47.647053,176.61107,0.9940634,3.2123916,0.49493328,10.623304,6
6.970782,0.26993227,0.28360584,1.680942,0.03513761,16.3417,117.72801,0.99221313,3.190764,0.4625539,10.793716,6
6.838783,0.49772984,0.4443476,7.2475367,0.06265351,13.193745,94.73822,0.9958956,3.2900865,0.5637349,9.795734,5
6.7261305,0.31704754,0.3439949,9.404677,0.034163065,34.798225,130.97066,0.99298733,3.0732937,0.31314903,11.9431925,8
5.8171,0.2460263,0.2956342,6.4450855,0.04750606,19.361183,141.04807,0.9956923,3.4078357,0.4112632,9.365266,6
7.8891497,0.27266234,0.47106817,1.3379806,0.04790506,10.099359,105.43792,0.9936967,3.1414661,0.6587775,10.538187,4
5.493756,0.32100403,0.25694233,3.405842,0.035286367,46.481056,123.659225,0.98892134,3.2153664,0.41330686,13.2144575,7
6.5489025,0.23030023,0.6290409,16.558138,0.049878065,30.311821,118.53611,0.9987212,3.1419508,0.45235622,8.85694,6
6.471799,0.20115612,0.3213797,16.481726,0.03908091,41.56166,117.94049,0.99910593,3.2592301,0.38111162,8.807825,6
6.509282,0.27295724,0.193404,8.7029295,0.048639473,56.29347,177.9584,0.9957347,3.1759303,0.4246353,9.159533,5
6.833667,0.30551046,0.5078069,9.032407,0.06580863,42.732475,206.83171,0.9975461,3.4427805,0.50474185,9.494055,6
5.733746,0.19985433,0.43101344,1.0352513,0.07891247,50.785942,149.86945,0.9921962,3.2139158,0.42908192,9.7197895,6
5.4945354,0.34668037,0.3948232,1.2513682,0.042773135,24.324648,103.133644,0.991671,3.328796,0.62269735,10.402196,6
6.314808,0.29495585,0.35444057,1.4949318,0.037257154,24.068388,91.971886,0.9906056,3.3383663,0.4920882,12.465191,6
6.621394,0.29953697,0.2086242,7.1044974,0.058324333,43.853264,167.2827,0.99540985,3.213822,0.46697947,9.486403,5
7.0085173,0.10828321,0.21467753,15.770663,0.060378104,17.470667,127.42027,0.9989627,2.8828719,0.43615162,8.939191,7
7.3529315,0.2684534,0.4739723,2.4139068,0.040206008,14.5452,142.91219,0.9924094,3.020053,0.77829826,12.201057,6
7.1079893,0.25488457,0.35334468,14.625858,0.04989094,56.098293,179.0517,0.9986156,3.2995625,0.4394999,9.748347,5
6.674371,0.45889753,0.19660437,1.2219582,0.05937798,14.676124,105.43035,0.9932575,3.169848,0.5106367,9.86608,6
6.086913,0.28750017,0.21659844,7.205214,0.050001934,47.33098,184.5567,0.99461174,3.2197056,0.46486074,9.501939,5
6.0076375,0.13978232,0.45671576,1.3508313,0.03253169,23.180008,93.097824,0.99115384,3.1861553,0.524794,11.330382,6
7.455643,0.24141893,0.34431857,11.855011,0.06171161,43.210144,121.047424,0.99745345,2.9996715,0.52357465,9.039927,6
7.3513465,0.3205301,0.37189332,7.1026177,0.03974073,36.356663,186.85507,0.9962259,3.141136,0.56604856,9.172958,6
5.5421534,0.2600675,0.32200006,1.383001,0.04279406,28.697264,95.37733,0.9904144,3.2263389,0.5665719,11.224001,6
6.3388925,0.3243851,0.5448966,9.351773,0.065622665,51.644447,219.28336,0.99583757,3.3127797,0.5855438,9.938917,6
9.065066,0.20878083,0.36205155,1.1239746,0.049484327,5.3169274,50.734886,0.9931601,3.155701,0.3148671,9.81353,5
6.608292,0.26153433,0.36526465,1.868795,0.047161195,27.182081,216.93608,0.9923361,3.3454597,0.49401224,11.175992,5
7.0578814,0.38667595,-0.00087618665,0.90491676,0.034297246,11.944963,77.00483,0.9918118,2.9878058,0.30194375,9.996442,5
6.9116287,0.41667944,0.24955615,10.271917,0.036266137,39.468807,167.50044,0.99707955,3.0630655,0.5036356,9.096427,5
6.5746927,0.17053686,0.39720154,8.0651865,0.041530278,46.40548,149.0822,0.9953585,3.5911825,0.419126,10.386306,6
6.5829954,0.307145,0.32968095,2.181508,0.03609321,32.199486,115.10939,0.9908528,3.3290846,0.4154148,12.504308,7
6.951074,0.2709002,0.37088278,2.0404665,0.044151545,31.38703,112.536705,0.99293005,3.4453206,0.64582986,11.018167,7
5.676703,0.19261983,0.2336319,3.2802842,0.04363508,45.214195,148.5718,0.9925823,3.1968338,0.41411018,9.643629,5
6.646401,0.3438097,0.33569378,1.555709,0.031551424,13.64141,99.80895,0.99107397,3.320615,0.42394197,12.1175785,6
10.027139,0.23274514,0.37064412,1.6407912,0.037225973,33.492188,162.53342,0.99473226,3.090283,0.4511754,10.170373,6
6.6072464,0.42315987,0.20120898,0.47783926,0.057920024,48.96409,147.1366,0.99190325,3.1187673,0.42157474,9.755757,5
6.5365195,0.27723673,0.25766706,7.2751904,0.052152414,45.44896,200.38179,0.99540174,3.1357648,0.52966696,9.5458975,6
7.149444,0.24212573,0.2574076,1.2091162,0.055197928,37.779194,142.9285,0.99236894,3.0932024,0.4114855,10.143071,5
7.3369794,0.20694742,0.3066402,1.6645148,0.050091807,38.155712,118.513664,0.99340516,3.3664086,0.6349634,10.828494,5
6.053606,0.3141282,0.3894441,4.392146,0.033096768,37.007954,101.61114,0.99010164,3.2339675,0.41165322,12.356895,6
7.687156,0.25654504,0.5218244,16.2016,0.058696173,37.40719,207.89278,0.99933034,3.0578449,0.5239525,9.205424,7
6.252117,0.26100585,0.33838782,1.2661251,0.041391063,27.803846,85.511,0.9892359,2.9470396,0.4943264,12.403636,6
6.2316732,0.18537098,0.38091964,6.1092362,0.04667441,68.14122,181.14012,0.9919983,3.0888295,0.42004538,11.406421,7
6.4540896,0.16456735,0.39488673,2.0885508,0.035593573,33.620686,109.69834,0.9902651,3.173595,0.7353704,12.410104,7
