fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.23383,0.15208325,0.29212907,6.229357,0.046989217,20.799332,116.623726,0.99519813,3.0606954,0.31669003,9.410948,6
6.1521997,0.238059,0.3160617,13.290452,0.04646295,32.306812,135.38254,0.99623,3.5073094,0.4567808,10.66003,7
7.483534,0.20339568,0.34308326,1.4422585,0.0334146,17.620716,108.9094,0.99155,3.0898185,0.7516738,11.366969,5
8.299348,0.35481626,0.32644895,7.6310816,0.038216572,58.477306,186.8968,0.99426955,3.1372163,0.4665373,10.99194,6
6.1368656,0.24621293,0.24993908,13.050684,0.053460825,52.897137,179.37903,0.99658453,3.2939787,0.45072514,9.772729,4
5.5293765,0.34484392,0.17188948,2.5142696,0.031275697,43.535866,122.58044,0.9912298,3.5017695,0.716598,11.853967,6
7.324863,0.429586,0.345487,1.9698606,0.04883915,35.472775,107.866684,0.9901748,3.2047687,0.4448106,12.76665,8
9.116921,0.27267772,0.423157,1.5429866,0.041119576,18.123436,151.8992,0.9954161,3.1550112,0.8508224,10.430354,4
6.220548,0.11671817,0.37492967,4.362809,0.02744858,59.327736,117.72922,0.9897902,3.234507,0.6319693,12.652318,7
6.90363,0.33829692,0.27306902,2.075571,0.0388443,28.99955,157.78017,0.99211496,3.0833414,0.57448816,10.266844,5
5.8969493,0.25260222,0.26925847,1.3652233,0.051485963,34.190304,174.76314,0.9930856,3.3318956,0.7576391,9.763688,5
5.7802997,0.25567013,0.39815181,4.6672807,0.0625901,50.30721,207.42476,0.9937854,3.1775877,0.52260035,9.292066,5
6.428527,0.38499922,0.27751815,4.8069105,0.051235065,31.708035,129.27739,0.98894215,3.0987773,0.38379443,13.347838,6
7.0847588,0.49188876,0.07405919,2.651254,0.0443027,24.70683,131.01476,0.99324065,3.2045257,0.40453863,9.558661,4
7.50482,0.34677446,0.46922803,17.708786,0.055275187,45.101593,171.19849,1.0012062,3.2992113,0.64398485,9.0320635,6
6.554384,0.23428784,0.35199648,2.9288256,0.040180296,40.580055,111.170715,0.9910528,3.199654,0.7526217,11.023392,7
5.729178,0.1501961,0.23836957,3.1279426,0.037022583,36.862873,117.04124,0.9913774,3.25126,0.34994286,10.716747,6
6.656445,0.19429156,0.19094062,0.4717355,0.029375436,16.970987,122.90189,0.9925645,3.1443486,0.36407253,9.358569,5
6.9292626,0.40207985,0.25029325,8.53504,0.020181289,40.319542,78.8109,0.9911012,3.1585393,0.7214255,13.606243,8
8.571527,0.4331615,0.4731294,13.681674,0.073823735,50.690212,176.10098,1.0004785,3.2220247,0.55705637,9.169037,5
7.441539,0.2740302,0.34641322,8.681477,0.04363949,37.86242,118.093994,0.9941487,3.140018,0.45690426,11.255073,5
8.085769,0.26108712,0.32062963,16.110033,0.056815,71.4955,273.7791,0.99990535,3.1285398,0.61223036,9.287029,5
7.080212,0.30410832,0.23626503,1.2197993,0.04603745,48.167664,136.58676,0.99156517,3.258174,0.47331876,10.978374,6
7.295312,0.37516955,0.71210015,7.5923977,0.045521345,74.95985,187.66432,0.99654305,3.0968206,0.47588313,8.854039,5
6.8190923,0.27393332,0.3259816,1.3340688,0.04866271,27.233368,119.28545,0.98929447,3.24814,0.37661353,12.6813755,7
6.603889,0.17035902,0.31336382,3.79237,0.04855815,30.201918,121.96488,0.9946763,3.3754313,0.4367224,9.786751,5
6.983978,0.26906928,0.2445336,7.8089423,0.047964167,64.55328,154.15054,0.99448276,2.9817894,0.5739854,10.39652,6
6.22346,0.3012117,0.31912562,8.745202,0.039480336,45.02433,146.59386,0.99112356,3.1542566,0.38247332,12.347379,7
6.058792,0.34819135,0.25032192,17.473148,0.039519228,27.884056,132.80116,0.9990806,3.180089,0.5128634,8.927338,6
5.959619,0.47444424,0.26461107,10.382539,0.03375256,31.36337,131.45984,0.9914125,3.2255025,0.7228037,13.294321,7
6.8482127,0.13654558,0.2815633,2.0601256,0.046457786,48.921932,146.34695,0.99379545,3.4692268,0.5710617,9.942448,6
6.5292077,0.2688042,0.3120294,2.9347441,0.048116688,40.331623,217.35147,0.9941559,3.2262068,0.5909589,9.519963,5
8.273191,0.19768843,0.7364134,12.244786,0.02960505,61.251907,148.2453,0.997922,2.9383585,0.31473568,9.250603,5
7.134605,0.21717288,0.21766783,15.75109,0.06275624,28.94136,157.48645,0.9985625,2.948268,0.39322925,8.73131,6
6.7565207,0.19354507,0.34457153,4.150124,0.04286724,45.340416,119.48411,0.9916128,3.2687402,0.4449228,11.481224,7
7.3575034,0.21426512,0.32283458,1.5718967,0.046719525,33.121666,157.42126,0.9923262,3.2657568,0.43433967,10.953002,6
6.576682,0.23342088,0.20595859,2.38979,0.045353234,44.892944,25.888418,0.98903644,3.2094212,0.5314912,13.614718,6
6.848697,0.14849538,0.33010802,1.3768629,0.037342023,34.935135,86.82863,0.9917217,3.297322,0.7179103,11.303291,7
6.6524096,0.32747284,0.23781002,8.755429,0.047929436,31.288788,159.42268,0.99645245,3.2193654,0.5545826,9.133285,6
6.233206,0.30366024,0.29423088,6.4223084,0.050421678,45.61729,164.21172,0.9952583,3.1266706,0.5262141,8.838528,5
7.273972,0.17057604,0.29263765,1.7249355,0.04183604,21.851055,102.40507,0.99229133,3.140243,0.48154545,10.576446,6
7.43772,0.25038818,0.34698963,4.0582147,0.04083123,20.46192,69.36322,0.99115795,3.2568913,0.46002498,12.421035,6
6.678647,0.41724655,0.28131893,1.5510623,0.020878144,23.384949,104.30879,0.9899486,3.0846815,0.39902857,11.597034,6
5.450951,0.1844222,0.061907243,1.1537355,0.046342343,24.975637,106.38055,0.9919277,3.3466516,0.48864123,9.086375,5
8.405366,0.24401282,0.32489136,1.321849,0.04306419,19.72372,65.57422,0.9911032,3.0577009,0.42176268,11.085943,6
6.7442174,0.32071403,0.23484875,7.2616467,0.05656192,31.24537,142.97095,0.9939619,3.2380302,0.3534896,10.32001,5
