fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.966032,0.30003932,0.6326534,9.332911,0.04377378,35.71131,213.76018,0.99723226,3.1841218,0.75467074,10.236349,4
7.509003,0.29974455,0.6582435,11.743073,0.041146733,67.99904,173.17729,0.9983,2.9819252,0.5139768,9.213132,6
8.307401,0.2024829,0.32720193,2.8625953,0.040408853,41.995285,118.66139,0.9953226,3.3404026,0.7725366,10.106586,7
7.4091716,0.23854053,0.33668488,0.90978533,0.04465326,16.472767,52.44373,0.99184585,3.1341372,0.60218424,10.9410305,5
6.1696415,0.28336796,0.17295791,17.242052,0.037986804,41.021835,161.6084,0.99983865,3.2862265,0.43309748,9.122398,3
5.555018,0.24983352,0.19752623,1.1479803,0.035046365,23.590553,82.46532,0.9889377,3.20995,0.36680228,12.868568,6
7.214855,0.19461432,0.34301096,13.151028,0.032260533,39.23186,149.76176,0.9970089,3.0233023,0.44651607,9.816092,6
7.6186547,0.35585567,0.46493244,14.977293,0.05129346,89.97869,223.43022,0.99969983,3.0841162,0.5126008,9.537075,6
6.686847,0.17823757,0.16605373,4.5366817,0.06406846,55.464787,142.46437,0.99601793,3.3397171,0.3904889,8.950607,5
5.9284897,0.31488007,0.3187947,1.0808146,0.07958895,22.786919,125.03024,0.9937374,3.0439138,0.5092234,9.3141,5
6.483036,0.23320104,0.24308506,1.622595,0.032362428,37.8191,164.02596,0.9908994,3.359633,0.41861156,12.252607,7
6.730516,0.2676691,0.30069804,10.104531,0.04477234,47.55308,173.34985,0.9971203,3.1205945,0.5076978,9.07793,5
6.6165705,0.30165756,0.25097644,1.3687824,0.036584236,15.758353,139.68956,0.99408096,3.1613061,0.47055727,9.122813,5
8.944983,0.26297954,0.24572216,1.8339654,0.06040492,42.765034,123.74343,0.9972962,3.5431828,0.6170574,10.343395,5
6.1809554,0.21673022,0.26886818,0.81772554,0.03975111,32.36522,100.9733,0.99110377,3.1413522,0.39166924,10.607864,6
7.325121,0.21413186,0.2585783,1.4973109,0.03999501,24.317673,82.974396,0.9935053,3.2902822,0.6643196,10.306044,5
6.49076,0.33563638,0.5399427,6.4621315,0.066431716,33.180824,122.002426,0.9961589,3.1524553,0.41083685,8.942058,6
7.177806,0.35248494,0.6253145,10.508598,0.04318743,59.99018,168.72081,0.99705386,3.0337555,0.5326826,9.016197,5
6.74647,0.34427324,0.30000678,6.4590135,0.04647155,27.441635,124.749596,0.99496675,3.2872686,0.59239864,10.636065,5
6.945051,0.19157435,0.14576319,1.6450163,0.039919037,78.74611,174.84065,0.9930137,3.1784637,0.39056793,9.745834,6
6.5648713,0.29617321,0.29985476,14.064391,0.04338365,50.65463,141.8242,0.9973454,3.27633,0.65013987,10.365885,5
7.0259995,0.30994383,0.39745048,16.997593,0.039861206,67.2838,164.95682,0.99886703,3.0933425,0.6476147,10.00441,5
6.1680236,0.40838522,0.28770915,9.2597,0.04624444,34.714725,150.99908,0.9969531,3.2629569,0.43557218,8.731501,5
6.357075,0.31633776,0.46772632,9.379903,0.039588816,75.30684,183.1671,0.99665576,3.0973735,0.42644617,9.125577,6
6.5635214,0.20419689,0.2931358,17.22047,0.041439407,54.29583,133.67174,0.9991076,3.1432257,0.30143958,8.810183,6
6.1624274,0.14050296,0.28488857,1.9185765,0.054462086,37.60351,154.16486,0.9942554,3.278358,0.47501802,9.137148,6
6.3555636,0.47185212,0.06764787,1.2656599,0.05290291,17.156555,99.70096,0.9945469,3.3209376,0.62079716,9.277572,5
7.632612,0.21576726,0.41470873,0.943322,0.04496082,27.414179,79.314285,0.99351054,3.3396845,0.5789379,11.331018,6
7.4737935,0.3151565,0.39315292,6.082201,0.021592535,23.606049,118.9947,0.994294,3.0214128,0.33869046,10.51076,6
5.5567093,0.38685286,0.20649149,3.711774,0.02489933,24.326786,109.92308,0.9913983,3.3739343,0.65278196,12.673666,6
7.282876,0.36650088,0.22888297,2.1748133,0.13604571,27.705181,109.487366,0.9946191,3.0607636,0.4838247,9.153649,5
6.6826034,0.23386793,0.22606266,13.928348,0.045900505,45.444244,141.81894,0.9987603,3.4360075,0.3557606,9.637065,5
5.6343637,0.11817215,0.29847077,1.5543252,0.029007917,19.694756,64.28801,0.9899384,3.4695885,0.49067867,12.275951,7
6.369233,0.21000576,0.33925152,9.240025,0.045250356,47.32402,144.963,0.99628145,3.1510992,0.6174435,9.806487,6
5.5683374,0.24929893,0.1747827,3.7724764,0.03427447,31.2119,109.35005,0.9925296,3.4369724,0.4274483,10.758759,7
7.642708,0.2983426,0.40702596,5.7615924,0.029184394,42.757145,164.13791,0.99433833,3.2670975,0.3994885,11.190161,6
6.7711477,0.3474989,0.3037476,3.5961492,0.04185004,42.28477,197.4419,0.993024,3.0235226,0.6809125,10.982406,5
7.3059497,0.33927703,0.21825157,1.7101533,0.028011717,22.40214,149.87378,0.992539,3.0471354,0.33592406,10.766382,4
6.763122,0.36652827,0.3846992,2.211634,0.03427123,28.918648,97.46061,0.98996276,3.128744,0.48933867,12.5603695,7
6.3124633,0.25582665,0.32168353,1.7117823,0.028772755,32.821903,100.87233,0.9907847,3.250486,0.48279765,10.958649,7
6.1346755,0.20001838,0.28756922,0.9912875,0.041069653,21.009132,85.14402,0.99078065,3.1675634,0.38699383,11.027482,6
6.4198885,0.20376,0.4922555,12.623923,0.026113084,47.837273,124.440315,0.99626374,3.1935012,0.32022566,9.564463,6
6.18263,0.5777163,0.034690883,0.6481652,0.04735833,21.972385,16.601042,0.9928353,3.4753606,0.4254463,10.156993,4
6.812451,0.27119133,0.31982043,1.036095,0.036697935,37.025734,133.18582,0.98978573,3.256874,0.37924644,12.5013685,7
