"fixed acidity" "volatile acidity" "citric acid" "residual sugar" chlorides "free sulfur dioxide" "total sulfur dioxide" density pH sulphates alcohol quality
8.023344 0.22428556 0.3248019 8.850577 0.04457893 58.60627 158.85567 0.9966495 3.0931652 0.46125203 10.284563 7
7.473991 0.211702 0.3935353 0.95567864 0.027151901 20.326252 94.21621 0.9920349 3.1778777 0.57081026 11.432613 6
6.47208 0.19446677 0.2707002 11.323038 0.044649057 30.06426 114.1793 0.9981358 3.531537 0.57746774 9.690127 6
7.4234066 0.242394 0.38023236 11.753972 0.04887948 68.60146 199.48845 0.99812245 3.4356627 0.48015094 9.777258 6
6.572723 0.26836413 0.33161852 2.0217013 0.023773147 35.28226 139.38527 0.9900043 3.2043016 0.5694333 12.628611 7
7.8396616 0.30481616 0.46009612 17.493565 0.052015267 84.25994 205.39572 1.0001229 3.095021 0.5666106 9.027874 6
6.3298635 0.32216802 0.23304594 9.3054 0.041872453 46.18106 210.5695 0.99587584 3.0972059 0.4470503 9.341369 6
7.0461025 0.2807736 0.30658573 6.495571 0.036916967 34.399734 133.2428 0.9925825 3.2648637 0.38243124 12.514312 7
5.403523 0.2796214 0.22621898 0.66311306 0.050623797 39.161884 135.02225 0.9912286 3.2334359 0.4734615 10.527938 5
9.010355 0.1431218 0.33108798 6.9994736 0.047438793 54.21825 142.11034 0.9968204 2.9636097 0.40338773 9.873334 7
7.0543346 0.25773397 0.376959 10.347564 0.051593248 30.042389 124.04181 0.99698985 3.1049426 0.5620425 9.730514 6
7.602726 0.2486252 0.43720248 2.4616766 0.047149092 28.126015 182.17754 0.99362886 3.2312787 0.59483993 10.016838 6
7.5462255 0.1857248 0.4513743 6.2419124 0.048009653 51.77797 162.28955 0.9935614 3.527072 0.37816024 11.755386 7
7.939059 0.31731215 0.35837275 6.143638 0.04484175 33.025826 191.33614 0.9963183 3.0867317 0.5469882 9.530761 5
8.238833 0.39083585 0.4162829 16.145142 0.048379622 41.228348 177.73132 0.9998556 3.1553783 0.5152423 9.48682 5
6.3877835 0.24211556 0.2224538 12.6619835 0.039417475 51.03962 166.46193 0.9971065 2.95917 0.48118007 9.435249 7
7.7251315 0.2476959 0.27856377 3.4259126 0.033861544 4.4638276 119.455414 0.9942465 3.1439846 0.5772959 10.236912 4
6.7157626 0.24600554 0.30324158 4.4774632 0.043491438 34.80977 152.33688 0.9943648 3.2354605 0.47534972 9.658571 6
7.4082355 0.2931504 0.35978568 7.731551 0.036718257 28.261974 107.36004 0.9958335 3.4886067 0.47175962 10.443595 6
7.992947 0.2413636 0.44435892 1.5809404 0.02563543 28.32028 115.95216 0.9908858 3.034613 0.35780028 11.606861 6
6.5868177 0.2513991 0.2557245 1.1998641 0.02409244 16.845762 95.119774 0.98989904 2.9841669 0.6795303 12.324511 6
5.99369 0.2567779 0.19190001 5.2093487 0.032173086 33.279247 106.06314 0.9894488 3.1104596 0.25334603 12.448065 5
7.195788 0.21138202 0.3962866 10.415374 0.035722982 23.561628 98.18928 0.9945681 3.1967366 0.40051824 11.457237 7
9.084999 0.1708384 0.38596314 6.4645905 0.03230781 32.075603 94.84947 0.9943108 3.0513248 0.2990333 10.699375 6
7.8045816 0.27517256 0.3544065 5.1241474 0.041343067 32.451355 151.01775 0.9949584 3.1126065 0.4505851 9.855675 7
6.4344673 0.19734728 0.3122144 1.6592696 0.028550593 39.64044 138.57014 0.99118024 3.2389705 0.77822286 11.2994375 7
6.7889132 0.24438447 0.30624467 2.7715378 0.025201574 15.478701 74.55902 0.99038213 3.0689855 0.44373834 12.489818 7
7.0698404 0.33204684 0.37187174 2.063355 0.034722343 27.087233 120.82728 0.99405545 3.489624 0.44392934 10.152251 6
6.4758015 0.10297441 0.3402333 1.949442 0.04834209 36.73065 137.69104 0.99609184 3.6327994 0.6092745 8.490551 5
