"fixed acidity" "volatile acidity" "citric acid" "residual sugar" chlorides "free sulfur dioxide" "total sulfur dioxide" density pH sulphates alcohol quality
6.602286 0.36987105 0.32112315 16.071018 0.04981586 32.808674 165.56137 0.99854964 3.1585634 0.4969813 8.9596195 3
7.189262 0.40786237 0.49885365 5.058284 0.055606168 25.68627 167.05386 0.9959433 3.2020736 0.48477325 9.531289 3
7.186504 0.3276852 0.34675243 17.42073 0.06565165 64.00152 186.21701 0.9994985 3.207205 0.45637634 9.249529 3
6.714223 0.23256193 0.25313404 1.707237 0.05268266 16.857853 106.47015 0.9942342 3.2021997 0.47598758 9.261415 3
7.3481307 0.4219637 0.39826366 10.304151 0.06040325 85.2294 283.2618 0.99615115 2.9574687 0.591301 10.035875 3
7.735094 0.59585935 0.24514571 2.0867908 0.066028506 -13.068596 83.534485 0.9949945 2.9850986 0.49193442 8.792319 3
9.1532135 0.2597006 0.72856814 1.4449677 0.04676341 -3.9034998 132.99869 0.9955747 3.1513925 0.53167 10.215089 3
5.552022 0.592963 0.16879931 7.912572 0.04570132 61.53353 184.01791 0.99540544 3.268715 0.4318045 8.709566 3
7.090699 0.3713413 0.35483435 -0.09396937 0.07168352 11.859487 126.98547 0.99296206 2.9754288 0.528953 9.35779 3
6.860416 0.56891567 0.5012614 -0.60307926 0.05699767 -0.050868437 120.73331 0.9948296 3.0559607 0.36674288 8.797372 3
7.3579364 0.3389709 0.40652055 2.1073833 0.07583383 2.802935 131.55304 0.99539155 3.1711147 0.62416565 8.778978 3
7.094454 0.55964094 0.46264368 10.956176 0.088636816 22.894234 180.07574 0.9985228 3.0452397 0.66008925 9.233885 3
7.0033593 0.4528872 0.4234234 4.6326017 0.05813811 16.20868 182.40247 0.9960703 3.073449 0.5284551 9.320121 3
6.2618346 0.43926188 0.18556316 3.4593978 0.07057093 17.154217 164.45222 0.99537295 3.2523715 0.51423043 9.568396 3
7.3768983 0.49351788 0.3489028 2.4281082 0.04249134 15.430675 133.38907 0.9948511 3.0455317 0.6597446 9.808678 3
7.0291247 0.46410298 0.26468715 1.3770186 0.053771622 31.42953 169.90335 0.99371505 3.1270175 0.4081341 8.986282 3
7.4600105 0.366238 0.48646292 10.815528 0.042103413 33.00643 168.2394 0.9974958 3.1350722 0.49830872 9.133168 4
6.3202443 0.35086557 0.4218182 10.002738 0.047029752 42.161785 230.20285 0.9960895 3.1995318 0.51970476 9.553078 4
7.321129 0.17019072 0.38677248 2.5390518 0.060007636 10.43094 49.48056 0.99237597 3.1441581 0.4014949 10.735999 4
7.369354 0.4294221 0.54918927 19.474539 0.057033446 35.322605 186.12506 0.99985665 3.1276 0.5941287 9.220216 4
6.6877966 0.23896873 0.3258448 8.706193 0.049951963 11.020539 84.85825 0.99503165 3.030897 0.40005824 9.772837 4
7.0029554 0.28194776 0.45916224 9.792197 0.04673921 30.15277 139.61824 0.9958134 2.9340553 0.409592 9.861147 4
6.002912 0.40023074 0.093349636 2.186257 0.034588657 8.883925 119.08602 0.99324113 3.2696667 0.63326246 9.690011 4
6.033685 0.4415682 0.38766682 2.883249 0.06976498 11.655831 155.80786 0.99581957 3.2815337 0.3856021 8.948534 4
5.963228 0.4327135 0.38271463 3.0058472 0.03545143 44.745213 173.54607 0.9932639 3.1416433 0.43927687 9.747122 4
7.0622745 0.29591718 0.312754 15.325041 0.059827637 39.820526 129.37749 0.99921626 3.1234448 0.4322989 9.110288 4
6.435207 0.15072818 0.19103307 3.3497295 0.04808855 39.65462 161.42169 0.99418783 3.4017544 0.4654957 9.881638 4
8.6033125 0.408865 0.5441146 4.121576 0.09935272 -3.897601 227.31691 0.9964169 3.2284932 0.7980296 9.929929 4
6.5416403 0.21923022 0.22975002 4.09219 0.05351042 33.92002 167.17465 0.9939688 3.2378676 0.4566374 10.188972 4
6.547828 0.2044542 0.26899132 1.960772 0.03780976 46.50595 152.14693 0.9919069 3.0445976 0.36273527 10.656137 4
5.8024898 0.31270435 0.4771179 11.258847 0.04637175 67.62291 218.28139 0.99674565 3.134705 0.47416002 8.961554 4
