"fixed acidity" "volatile acidity" "citric acid" "residual sugar" chlorides "free sulfur dioxide" "total sulfur dioxide" density pH sulphates alcohol
6.470522 0.2089478 0.32162187 0.16797371 0.039235532 34.8155 156.83409 0.9923268 3.1462862 0.3818578 11.385663
6.7920895 0.19916645 0.4420295 -1.2743245 0.0467987 30.365286 151.77502 0.99256325 3.223011 0.49666977 11.16807
6.938494 0.27957982 0.29144686 -0.30855203 0.04160506 27.715805 144.3471 0.9930342 3.141844 0.3388884 10.162618
6.7032566 0.1605707 0.34390372 2.3838222 0.047250338 33.3119 159.02437 0.99351597 3.1771646 0.4160506 10.279804
5.7134576 0.22948599 0.41199586 -3.2114737 0.035546564 43.387314 166.08417 0.9897809 3.3026276 0.4123809 13.2036915
6.764511 0.18775477 0.34063318 2.4946575 0.048974246 20.85452 138.32823 0.9952493 3.2405887 0.43755138 9.621621
5.802714 0.1706337 0.26261333 0.62078077 0.045623425 34.32067 140.81331 0.9918247 3.2052531 0.3168417 11.289798
7.0887356 0.16657244 0.41700822 2.01023 0.040394366 34.30144 144.93886 0.99391764 3.0796082 0.47354254 10.3928995
7.336016 0.2867401 0.50005245 6.853898 0.045454416 60.671803 224.79584 0.99791807 3.084806 0.4151602 9.234577
7.465875 0.20668395 0.3381012 10.367375 0.05061315 41.284016 176.1438 0.999463 3.1718223 0.40959454 9.036332
5.6784973 0.27305776 0.36282182 -3.8314934 0.063123934 22.657925 189.67482 0.99466026 3.5665596 0.46491036 9.760357
5.815262 0.2322967 0.37370232 -4.046566 0.055053014 17.363213 169.90831 0.99159646 3.645767 0.45672938 11.423144
7.7254257 0.11466568 0.5916496 2.173164 0.048490457 36.36196 152.43376 0.9967555 3.316712 0.74560785 9.844198
7.8792844 0.15770543 0.57435024 -1.1446809 0.07183973 34.7011 182.7023 0.99578613 3.2220232 0.6061572 10.162374
7.089357 0.20045295 0.33969086 4.3740153 0.041300748 33.96706 138.74527 0.99502444 3.0876138 0.3569471 9.774929
5.674271 0.18144916 0.37377098 -3.7359142 0.042608622 38.45339 193.82915 0.99242324 3.5638502 0.52686256 11.534844
7.5647573 0.2513295 0.44235986 -0.048420772 0.03795473 43.487743 181.58345 0.992239 3.1526337 0.42213336 12.659753
6.447694 0.22063966 0.31790727 0.566149 0.044005502 43.498257 163.8394 0.9918391 3.1681664 0.3390951 11.808886
6.3566446 0.1709873 0.4313463 -3.6966968 0.050000004 38.234238 177.73538 0.99270993 3.398722 0.5386232 10.942903
6.3794312 0.14472862 0.33174285 3.152007 0.04646222 36.22178 161.0248 0.99338406 3.3325062 0.39556518 10.55684
6.7050853 0.22318926 0.232337 6.3758087 0.056369983 42.01316 221.78023 0.99790144 3.3645496 0.45049122 9.305232
6.3082275 0.18562129 0.331795 -0.50478286 0.040571462 34.17199 177.01437 0.9919863 3.2840812 0.46646175 12.434517
6.474041 0.273325 0.3149191 -0.82725465 0.037336573 41.903557 174.85686 0.99085057 3.0268965 0.33058068 13.073718
6.468372 0.24656746 0.27553067 0.85404277 0.039032277 39.004528 153.60297 0.99288416 3.029492 0.30145872 11.773829
7.016536 0.24500337 0.3480535 -0.08376263 0.04370462 39.435314 188.48175 0.99370897 3.1823375 0.42753765 9.761557
