fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
14.2,0.08000001,1.66,65.8,0.009000003,2.0000026,151.4148,0.98710996,2.72,0.86834925,14.2,3.0
14.199996,0.080000564,1.659999,65.79998,0.009000356,2.0001402,153.51706,0.98710996,2.7200012,0.8557189,14.199995,3.0
14.199997,0.08000028,1.6599995,65.79998,0.009000253,2.0001168,152.92998,0.98710996,2.7200007,0.85100955,14.199997,3.0
14.199995,0.080000766,1.6599989,65.799965,0.0090003675,2.0001812,153.84566,0.98710996,2.7200007,0.85917556,14.199994,3.0
14.199998,0.080000326,1.6599995,65.79999,0.009000218,2.0001016,151.63391,0.98710996,2.7200005,0.8546814,14.199995,3.0
14.2,0.080000035,1.6599998,65.8,0.009000025,2.0000095,153.05132,0.98710996,2.72,0.8739261,14.2,3.0
14.199998,0.08000024,1.6599996,65.79998,0.009000114,2.0000448,152.94472,0.98710996,2.7200005,0.85913634,14.199997,3.0
14.2,0.08000001,1.66,65.8,0.009000007,2.0000026,150.24416,0.98710996,2.72,0.8711796,14.2,3.0
14.199992,0.08000262,1.659997,65.79993,0.009000697,2.0003827,151.04416,0.9871101,2.720003,0.8538511,14.199981,3.0
14.199998,0.080000244,1.6599995,65.799995,0.009000122,2.00005,150.42334,0.98710996,2.7200003,0.8626408,14.199997,3.0
14.199998,0.08000014,1.6599995,65.799995,0.009000185,2.000036,151.82959,0.98710996,2.7200003,0.8628282,14.199998,3.0
14.2,0.080000065,1.6599998,65.8,0.009000029,2.0000107,151.06898,0.98710996,2.72,0.86579835,14.2,3.0
14.2,0.080000035,1.66,65.8,0.009000016,2.0000124,151.3554,0.98710996,2.72,0.86317533,14.2,3.0
14.2,0.08000003,1.66,65.8,0.009000014,2.0000045,152.8075,0.98710996,2.72,0.86756855,14.2,3.0
14.199995,0.08000137,1.6599982,65.79995,0.009000358,2.000108,153.2145,0.98710996,2.720001,0.8570915,14.199989,3.0
14.199996,0.08000053,1.6599991,65.79997,0.009000308,2.0000753,153.44536,0.98710996,2.7200007,0.85324633,14.199994,3.0
14.2,0.08000003,1.66,65.8,0.009000007,2.0000017,152.7429,0.98710996,2.72,0.8682713,14.2,3.0
14.199996,0.08000047,1.6599991,65.79998,0.0090001635,2.0000992,152.82011,0.98710996,2.7200005,0.8600352,14.199997,3.0
14.199998,0.08000029,1.6599997,65.79998,0.0090001635,2.0000446,151.87769,0.98710996,2.7200003,0.8593162,14.199997,3.0
14.2,0.08000005,1.66,65.8,0.009000019,2.0000074,150.89035,0.98710996,2.72,0.8695798,14.2,3.0
14.2,0.08000003,1.66,65.8,0.009000011,2.0000033,152.04489,0.98710996,2.72,0.86797595,14.2,3.0
14.199998,0.08000015,1.6599998,65.799995,0.009000053,2.000047,152.50288,0.98710996,2.7200003,0.8683063,14.199998,3.0
14.199993,0.080000766,1.659998,65.79996,0.009000374,2.0002627,152.48167,0.98710996,2.7200017,0.8583936,14.199989,3.0
14.199998,0.080000326,1.6599993,65.79999,0.009000186,2.0000494,151.1228,0.98710996,2.7200003,0.8572456,14.199997,3.0
14.199995,0.08000048,1.659999,65.79997,0.009000232,2.0000994,151.33498,0.98710996,2.7200005,0.8561552,14.199995,3.0
14.2,0.0800001,1.66,65.8,0.009000025,2.0000162,153.39453,0.98710996,2.72,0.8710917,14.2,3.0
14.2,0.08000001,1.66,65.8,0.009000006,2.0000014,150.96098,0.98710996,2.72,0.8687235,14.2,3.0
14.199997,0.08000051,1.6599989,65.79998,0.009000161,2.0001297,152.20845,0.98710996,2.7200007,0.85301715,14.199994,3.0
14.2,0.08000006,1.66,65.8,0.0090000145,2.000011,151.72238,0.98710996,2.72,0.85952604,14.2,3.0
14.2,0.08000005,1.66,65.8,0.009000015,2.0000036,149.63399,0.98710996,2.72,0.8736168,14.2,3.0
14.2,0.08000007,1.66,65.8,0.009000019,2.0000136,151.22237,0.98710996,2.72,0.8686217,14.199998,3.0
14.199997,0.08000046,1.6599994,65.79999,0.009000138,2.0000339,149.70717,0.98710996,2.7200007,0.85725254,14.199992,3.0
14.2,0.08000003,1.66,65.8,0.009000005,2.0000062,152.84735,0.98710996,2.72,0.86834675,14.2,3.0
14.199997,0.08000026,1.6599994,65.79999,0.009000133,2.0000718,152.43736,0.98710996,2.7200003,0.85780966,14.199997,3.0
14.199993,0.08000097,1.6599987,65.799965,0.009000254,2.0002,153.07402,0.98710996,2.7200012,0.84872353,14.199989,3.0
14.2,0.0800001,1.6599998,65.8,0.009000069,2.000011,148.33937,0.98710996,2.7200003,0.86675185,14.2,3.0
14.2,0.080000035,1.66,65.8,0.009000014,2.000005,151.52275,0.98710996,2.72,0.86742604,14.2,3.0
14.2,0.08000005,1.6599998,65.8,0.009000029,2.0000083,151.96565,0.98710996,2.72,0.86509824,14.2,3.0
14.2,0.08000005,1.66,65.8,0.00900001,2.000005,150.94415,0.98710996,2.72,0.87004757,14.2,3.0
14.199998,0.080000244,1.6599995,65.799995,0.009000176,2.0000348,151.54361,0.98710996,2.7200005,0.8601546,14.199998,3.0
14.199984,0.08000311,1.6599952,65.79987,0.009001383,2.0004306,152.1657,0.9871101,2.7200034,0.8475685,14.199981,3.0
14.199993,0.080000706,1.6599994,65.79998,0.009000364,2.000111,151.61285,0.98710996,2.7200007,0.8616105,14.199992,3.0
14.199998,0.08000012,1.6599997,65.799995,0.009000111,2.0000305,149.72102,0.98710996,2.7200003,0.8637471,14.199998,3.0
14.2,0.08000004,1.66,65.8,0.009000025,2.0000064,151.68028,0.98710996,2.72,0.86624223,14.2,3.0
14.2,0.08000002,1.66,65.8,0.0090000145,2.000004,152.45807,0.98710996,2.72,0.87123567,14.2,3.0
14.2,0.08000002,1.66,65.8,0.009000006,2.0000033,151.96436,0.98710996,2.72,0.87106234,14.2,3.0
14.199998,0.08000031,1.6599995,65.79999,0.009000173,2.0000741,153.34526,0.98710996,2.7200003,0.86117446,14.199997,3.0
14.199998,0.08000019,1.6599997,65.79999,0.009000134,2.0000343,153.13786,0.98710996,2.7200003,0.86109257,14.199998,3.0
14.199996,0.08000049,1.6599989,65.79997,0.009000198,2.00016,152.80434,0.98710996,2.720001,0.8508387,14.199995,3.0
14.2,0.08000005,1.6599998,65.8,0.009000021,2.0000103,150.94345,0.98710996,2.72,0.8733914,14.2,3.0
14.199998,0.08000018,1.6599997,65.799995,0.009000027,2.0000207,152.64084,0.98710996,2.72,0.8665019,14.199998,3.0
14.199998,0.08000056,1.6599993,65.79998,0.009000199,2.0000684,153.3484,0.98710996,2.7200005,0.85361904,14.199997,3.0
14.2,0.08000004,1.6599998,65.8,0.009000025,2.0000086,151.31738,0.98710996,2.72,0.85974485,14.2,3.0
14.199998,0.08000026,1.6599995,65.799995,0.009000065,2.0000255,154.51624,0.98710996,2.7200005,0.864224,14.199998,3.0
14.2,0.08000003,1.66,65.8,0.009000011,2.0000045,152.78352,0.98710996,2.72,0.8666086,14.2,3.0
14.199996,0.08000052,1.6599989,65.79997,0.009000318,2.0001378,151.96971,0.98710996,2.7200005,0.85609335,14.199995,3.0
14.199998,0.080000296,1.6599997,65.79999,0.009000052,2.0000608,153.74097,0.98710996,2.7200003,0.8564428,14.199998,3.0
14.199991,0.08000131,1.6599977,65.79997,0.009000325,2.0001957,152.4978,0.98710996,2.7200017,0.85502595,14.199988,3.0
14.199996,0.08000037,1.6599993,65.79999,0.009000117,2.0001004,152.57112,0.98710996,2.7200005,0.8542446,14.199994,3.0
14.2,0.08000005,1.66,65.8,0.009000019,2.0000072,152.29419,0.98710996,2.72,0.8668269,14.2,3.0
14.199998,0.080000386,1.6599994,65.79999,0.009000121,2.0000474,152.83878,0.98710996,2.7200003,0.8669571,14.199998,3.0
14.2,0.08000015,1.6599998,65.799995,0.009000082,2.0000434,153.39743,0.98710996,2.7200003,0.8541175,14.199998,3.0
14.199998,0.08000019,1.6599997,65.799995,0.009000071,2.000051,152.7108,0.98710996,2.7200003,0.86072564,14.199998,3.0
14.2,0.08000002,1.66,65.8,0.009000003,2.0000043,150.28972,0.98710996,2.72,0.8722368,14.2,3.0
14.199996,0.08000062,1.6599991,65.79998,0.009000294,2.0001645,150.58769,0.98710996,2.7200005,0.86495984,14.199995,3.0
14.199998,0.08000062,1.6599993,65.79999,0.0090001095,2.0000756,152.65775,0.98710996,2.7200005,0.85940564,14.199997,3.0
14.199954,0.080004625,1.6599904,65.79959,0.009002651,2.0016706,152.1964,0.9871102,2.7200124,0.84839374,14.19992,3.0
14.199995,0.080000676,1.6599982,65.79995,0.009000569,2.0001948,153.34828,0.98710996,2.720001,0.85440177,14.199992,3.0
14.2,0.08000009,1.6599998,65.8,0.009000033,2.0000105,151.11337,0.98710996,2.72,0.85959375,14.199998,3.0
14.2,0.08000007,1.6599998,65.8,0.009000035,2.0000103,152.11552,0.98710996,2.72,0.8672377,14.2,3.0
14.199989,0.0800016,1.6599982,65.79994,0.009000578,2.0002086,152.84442,0.98710996,2.720002,0.8511075,14.199986,3.0
14.2,0.08000001,1.66,65.8,0.009000004,2.000001,150.85072,0.98710996,2.72,0.8674407,14.2,3.0
14.199998,0.08000023,1.6599995,65.799995,0.009000073,2.0000455,152.6138,0.98710996,2.7200003,0.8604846,14.199998,3.0
14.2,0.08000002,1.66,65.8,0.00900001,2.0000076,151.5305,0.98710996,2.72,0.87128866,14.2,3.0
14.199997,0.080000415,1.6599988,65.79999,0.009000292,2.0000749,151.2039,0.98710996,2.720001,0.85777855,14.199994,3.0
14.199996,0.08000049,1.6599991,65.79997,0.009000164,2.000107,152.99265,0.98710996,2.720001,0.8580647,14.199992,3.0
14.2,0.080000155,1.6599997,65.799995,0.009000059,2.0000174,151.9514,0.98710996,2.72,0.8665532,14.199998,3.0
14.199995,0.08000112,1.6599984,65.799965,0.009000287,2.0001862,153.09439,0.98710996,2.720001,0.85631204,14.199992,3.0
14.2,0.08000013,1.6599998,65.799995,0.009000035,2.0000305,151.52461,0.98710996,2.72,0.8721649,14.199998,3.0
14.2,0.080000006,1.66,65.8,0.0090000015,2.0000005,150.77989,0.98710996,2.72,0.8750159,14.2,3.0
14.199996,0.08000054,1.6599994,65.799965,0.009000141,2.000061,152.94356,0.98710996,2.7200007,0.8611841,14.199995,3.0
14.2,0.08000016,1.6599997,65.799995,0.009000063,2.000047,151.95398,0.98710996,2.7200003,0.8610866,14.199998,3.0
14.199998,0.08000023,1.6599995,65.79999,0.009000129,2.0000525,150.92432,0.98710996,2.7200003,0.8568674,14.199995,3.0
14.199998,0.08000021,1.6599996,65.799995,0.009000123,2.0000703,153.97453,0.98710996,2.7200005,0.85707057,14.199998,3.0
14.199998,0.080000214,1.6599997,65.799995,0.009000118,2.0000389,151.31335,0.98710996,2.7200003,0.86378103,14.199997,3.0
14.2,0.08000012,1.6599998,65.799995,0.009000043,2.00003,150.57413,0.98710996,2.7200003,0.86292017,14.199998,3.0
14.199998,0.08000021,1.6599994,65.799995,0.0090001235,2.0000405,155.10657,0.98710996,2.7200003,0.8515214,14.199998,3.0
14.199992,0.0800015,1.6599982,65.79996,0.009000451,2.0001502,154.47028,0.98710996,2.7200012,0.8505236,14.199986,3.0
14.199997,0.08000039,1.6599994,65.79999,0.00900025,2.0000603,152.01425,0.98710996,2.7200005,0.86163694,14.199995,3.0
14.199997,0.080000445,1.6599993,65.79998,0.009000179,2.0000997,153.61284,0.98710996,2.7200012,0.8573695,14.199995,3.0
14.199998,0.0800004,1.6599995,65.79999,0.009000128,2.0000532,149.99643,0.98710996,2.7200003,0.8648666,14.199997,3.0
14.2,0.08000011,1.6599998,65.799995,0.009000079,2.0000186,153.39592,0.98710996,2.72,0.8596315,14.199998,3.0
14.199997,0.08000027,1.6599995,65.799995,0.009000109,2.000061,153.26694,0.98710996,2.720001,0.85428005,14.199997,3.0
14.2,0.08000001,1.66,65.8,0.009000004,2.0000014,150.82133,0.98710996,2.72,0.87188184,14.2,3.0
14.199998,0.08000018,1.6599995,65.799995,0.009000141,2.0000677,153.01848,0.98710996,2.7200003,0.8603493,14.199997,3.0
14.199996,0.08000083,1.6599988,65.799965,0.009000248,2.0001361,154.44687,0.98710996,2.7200007,0.8520072,14.199992,3.0
14.199997,0.0800006,1.6599982,65.799965,0.0090002315,2.0001307,154.24637,0.98710996,2.7200005,0.85610586,14.199992,3.0
14.199991,0.080001354,1.6599975,65.799934,0.009000597,2.0003457,151.66484,0.9871101,2.7200031,0.8597756,14.199985,3.0
14.199997,0.08000035,1.6599993,65.79998,0.009000194,2.000058,151.81793,0.98710996,2.7200005,0.85992944,14.199997,3.0
14.199989,0.08000173,1.6599979,65.79995,0.009000478,2.0002003,153.85297,0.9871101,2.720002,0.85022944,14.199985,3.0
14.2,0.08000014,1.6599998,65.799995,0.00900004,2.0000308,151.61742,0.98710996,2.72,0.8672721,14.199998,3.0
14.199984,0.080002375,1.6599975,65.79986,0.009000695,2.000275,152.96088,0.9871101,2.7200022,0.8517291,14.199975,3.0
14.199996,0.08000061,1.6599989,65.79998,0.009000191,2.0001209,155.44147,0.98710996,2.7200005,0.8575252,14.199995,3.0
14.199998,0.08000022,1.6599996,65.79999,0.009000106,2.0000255,153.6865,0.98710996,2.7200005,0.8578941,14.199997,3.0
14.199991,0.08000164,1.6599964,65.79984,0.0090008695,2.0003824,153.43985,0.9871101,2.720003,0.8532239,14.199975,3.0
14.199997,0.080000326,1.6599993,65.79999,0.009000167,2.000093,150.82474,0.98710996,2.7200005,0.8635431,14.199995,3.0
14.2,0.08000019,1.6599996,65.799995,0.009000088,2.0000327,154.08932,0.98710996,2.7200003,0.85525405,14.199998,3.0
14.2,0.080000035,1.66,65.8,0.009000014,2.0000024,155.51123,0.98710996,2.72,0.8747185,14.2,3.0
14.2,0.08000011,1.6599998,65.8,0.00900005,2.000019,150.82349,0.98710996,2.7200003,0.86038965,14.199998,3.0
14.2,0.08000011,1.6599997,65.8,0.009000053,2.0000205,151.79031,0.98710996,2.72,0.8605014,14.199998,3.0
14.199961,0.08000379,1.6599942,65.799805,0.009002184,2.0006962,153.83679,0.9871101,2.720005,0.8538131,14.199963,3.0
14.2,0.08000004,1.66,65.8,0.009000021,2.0000155,151.20227,0.98710996,2.72,0.87039083,14.2,3.0
14.199998,0.080000274,1.6599996,65.79999,0.009000138,2.0000455,154.24194,0.98710996,2.7200003,0.8559,14.199998,3.0
14.2,0.080000006,1.66,65.8,0.009000002,2.0000005,153.11192,0.98710996,2.72,0.8742507,14.2,3.0
14.199997,0.08000043,1.6599994,65.79998,0.009000152,2.000056,152.61095,0.98710996,2.7200005,0.85674393,14.199997,3.0
14.2,0.08000001,1.66,65.8,0.009000006,2.0000021,152.57518,0.98710996,2.72,0.8664363,14.2,3.0
14.199997,0.0800003,1.6599991,65.79998,0.0090003945,2.0000896,153.67804,0.98710996,2.7200005,0.85650426,14.199995,3.0
14.2,0.080000095,1.6599997,65.799995,0.009000064,2.0000231,153.49023,0.98710996,2.7200003,0.8551989,14.199998,3.0
14.2,0.08000005,1.66,65.8,0.009000029,2.0000114,151.37102,0.98710996,2.72,0.866874,14.2,3.0
14.199959,0.08000611,1.6599941,65.79975,0.009002604,2.0009513,152.72691,0.9871101,2.720006,0.8482387,14.1999655,3.0
14.199997,0.08000052,1.6599988,65.799965,0.009000291,2.0001223,153.0708,0.98710996,2.7200005,0.85406256,14.199992,3.0
14.2,0.08000014,1.6599998,65.8,0.009000048,2.000019,151.5502,0.98710996,2.7200003,0.8579647,14.2,3.0
14.2,0.080000006,1.66,65.8,0.009000004,2.0000014,149.27582,0.98710996,2.72,0.8801375,14.2,3.0
14.2,0.080000065,1.6599998,65.799995,0.009000031,2.0000112,149.95964,0.98710996,2.72,0.86635625,14.2,3.0
14.2,0.080000035,1.66,65.8,0.009000012,2.0000038,150.24088,0.98710996,2.72,0.8627937,14.2,3.0
