fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.7520375,0.25825325,0.46075836,3.1888745,0.05378315,18.186625,129.73456,0.9938986,3.0341592,0.5343529,8.736696
7.363773,0.68965137,0.328215,3.2239425,0.035297956,-0.007027866,123.779335,0.9919223,3.1543622,0.5116542,9.540454
6.653552,0.30825818,0.327276,4.414586,0.040066455,21.95428,106.239586,0.9899096,3.0733461,0.43124145,11.698235
7.013283,0.401661,0.42850626,4.31919,0.04221017,3.9758086,108.22621,0.9883772,3.440745,0.64819723,12.421394
7.9916873,0.29142603,0.3651241,9.318046,0.05581101,35.271923,134.51103,0.99362165,3.0848417,0.4382703,10.87483
6.1547766,0.046305686,0.7836861,8.129077,0.23420078,31.125519,139.76794,0.9953778,3.202923,0.32645312,9.492572
7.302808,0.36210194,0.5166978,3.2463892,0.037718277,16.418545,183.72925,0.99300665,3.1137183,0.62045103,9.284099
7.3334775,0.37122568,0.31689385,8.847871,0.038969677,39.62363,150.57574,0.99242604,3.1073909,0.38465416,11.066254
8.565888,0.4081922,0.4075276,8.166401,0.040915597,51.38762,163.62224,0.9912239,2.9128675,0.31929472,12.643745
7.5707016,0.3163423,0.5634769,4.088718,0.043359146,22.021317,168.14915,0.9923102,3.1138177,0.6801721,9.62596
7.1407204,0.28409135,0.28881657,5.4269257,0.037350588,24.461279,95.55019,0.9911753,2.9114025,0.35087562,11.164961
6.7438107,0.25539792,0.39268842,7.015334,0.040423688,32.875854,164.70427,0.9943962,3.0437744,0.4172669,9.3569
6.5891476,0.30875123,0.33155978,14.946678,0.049153887,40.532116,192.14175,0.9970108,3.1298685,0.5697876,9.151514
6.412924,0.4789044,0.27911898,5.416456,0.045239575,20.68176,92.19043,0.9884898,3.3636959,0.40676868,12.328985
7.494038,0.3276073,0.35309047,7.5138054,0.034553446,36.813118,136.92801,0.99301785,2.9979289,0.33716312,10.605914
8.209189,0.20810099,0.54891014,1.8230749,0.03432164,1.5374807,114.854294,0.99181265,3.0211904,0.6496437,10.837638
6.3634677,0.6571164,0.27740502,5.3690667,0.034332175,24.891602,137.78293,0.99164015,3.103794,0.39341444,10.163717
7.174992,0.28793085,0.4022099,4.7119875,0.038792383,20.876225,115.53702,0.98934364,3.0441215,0.5229715,12.296477
