fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.397331,0.59020174,0.28279334,2.578874,0.122643255,31.020664,118.99234,1.0039178,3.1566617,0.51292557,9.096071,5
8.894736,0.3070156,0.5567957,1.9987909,0.10240916,26.00917,85.00932,0.9904933,3.2603624,0.53196144,9.7142105,5
8.198285,0.48363262,0.23682506,1.995647,0.081297934,16.006468,86.006615,1.0080261,3.343393,0.63863915,9.509875,6
5.999251,0.3147433,0.47461364,3.6159713,0.07072922,18.012928,42.00216,0.9877728,3.3912175,0.6673375,11.004511,6
12.197085,0.33855823,0.4971302,2.395754,0.06786558,10.012513,20.99209,0.98573226,3.1372337,1.1666292,9.194919,6
7.898778,0.5454891,0.058398314,4.011141,0.09253002,27.008427,61.016586,1.0017078,3.3586626,0.66634315,10.696588,6
9.105023,0.23260777,0.37455055,1.6124359,0.057628833,6.007705,9.998819,1.0183465,3.2404037,0.56218654,11.107301,7
7.701172,0.9973835,0.14414613,2.0974898,0.10334707,11.011807,32.00752,0.97901475,3.2408469,0.49803385,9.988117,5
8.707773,0.6253286,0.16748847,2.0082886,0.11343761,13.016353,48.982143,1.0021417,3.1436596,0.5547272,10.999843,5
6.6871862,0.8389289,0.02799369,1.9135337,0.054381933,28.992752,38.004963,1.0113456,3.3093305,0.55558276,10.7485,6
7.211534,0.58096933,0.059038267,1.6010039,0.079084665,9.007939,27.013971,0.9914478,3.360589,0.7042368,9.60548,6
9.415002,0.333907,0.5912746,2.7915144,0.08079914,9.00233,29.99466,0.99762547,3.1163876,0.5312137,12.011896,6
7.691609,0.6190987,0.18169633,2.4319851,0.09107953,6.0101514,19.980526,0.9982229,3.2806592,0.6073031,10.19613,6
11.50678,0.43123937,0.48910746,2.6029696,0.08614812,7.9975696,20.0026,0.99458027,3.0946493,0.528784,10.983701,5
12.789994,0.84585434,0.62663954,2.4033506,0.08103392,13.000948,35.008606,0.9884371,3.1057706,0.5820752,10.417006,6
6.7913914,0.56624544,0.038381413,1.7072659,0.09570929,17.994053,34.99311,1.0003319,3.4456155,0.63478714,10.001416,6
7.4889503,0.30950195,0.40865287,2.4149854,0.08580935,33.992893,60.00073,0.99472624,3.334727,0.86627954,11.399793,6
6.690515,0.1553179,0.6522044,2.1017704,0.057629842,23.997837,52.010513,0.99960464,3.3337736,0.698756,11.187623,6
9.90162,0.3563176,0.39820987,1.4916317,0.083158456,30.98688,46.979473,0.9963219,3.236574,0.8029516,10.599958,7
11.395493,0.59380376,0.4963528,2.7095068,0.09599427,10.006621,40.998436,0.9949697,3.1360846,0.62506527,10.526135,6
6.7956486,0.59476423,0.098704256,1.7062359,0.05483905,34.004757,53.00137,1.0028162,3.4154315,0.6835975,9.710499,5
6.5949826,0.7083795,0.054652415,1.6014497,0.07570728,5.9842844,15.020599,1.0020212,3.4377725,0.5787433,10.699398,5
